Date;Pax_CDG;Pax_ORY;Choc;Pax_Tot;Mov_CDG;Mov_ORY;Mov_Tot;IPC;Mvt_soc_SNCF;Population;Carburant_aviation_Price;Pétrole_brut_Price;tx_chomage;Temp_moyenne_paris;Brent;GDP
Aug-19;7 474 058;2 924 869;0;10 398 927;46 475;18 708;65 183;110,77;803,63;64853;1,8;57,67;8,508167;21,7;53,1;588455,15
Sep-19;6 818 880;2 623 390;0;9 442 270;44 377;18 449;62 826;99;23812,5;64867;1,88;60,04;8,377345;17,9;57,1;588784,19
Oct-19;6 645 474;2 628 449;0;9 273 923;43 769;17 907;61 676;101,96;714,75;64880;1,86;57,27;8,274821;13,8;54;588336,8133
Nov-19;5 662 267;2 271 164;0;7 933 431;37 867;15 957;53 824;99,3;2407,25;64890;1,82;60,4;8,203844;8,6;57,2;587889,4367
Dec-19;5 784 144;2 315 238;0;8 099 382;38 365;15 875;54 240;105,19;327141;64895;1,89;63,35;8,169237;7,4;60,4;587442,06
janv-20;5 520 777;2 317 696;0;7 838 473;37 387;16 433;53 820;97,5;158241,38;64898;1,78;61,63;8,051386;7,1;57,3;575799,5033
févr-20;5 070 601;2 241 452;0;7 312 053;35 250;15 472;50 722;100,19;15104,38;64903;1,51;53,35;7,657748;9,4;51,1;564156,9467
mars-20;2 501 554;1 112 047;1;3 613 601;23 007;9 409;32 416;96,79;645,88;64908;0,95;32,2;7,473712;9,3;28,8;552514,39
avr-20;128 151;6;1;128 157;3 752;13;3 765;97,33;4;64906;0,61;21,04;7,803473;15,7;16,9;527228,3933
mai-20;203 502;8;1;203 510;5 067;67;5 134;99,61;92,5;64897;0,69;30,38;6,912589;16,8;27,5;501942,3967
juin-20;625 623;52 051;1;677 674;8 882;384;9 266;104,68;69,25;64910;0,98;39,46;6,624858;19,2;35,8;476656,4
juil-20;1 728 636;681 868;1;2 410 504;18 247;5 194;23 441;109,51;117,25;64926;1,08;42,07;7,077507;21,1;37,7;505623,2167
août-20;2 140 679;1 106 137;1;3 246 816;22 302;8 271;30 573;105,95;123,88;64944;1,11;43,44;7,484805;22,9;37,8;534590,0333
sept-20;1 354 896;1 048 576;1;2 403 472;18 077;9 219;27 296;96,01;7391,38;64958;1,01;40,6;7,859895;19,3;34,7;563556,85
oct-20;1 215 906;1 043 365;1;2 259 271;16 245;8 670;24 915;;;;;;;;;
nov-20;;;1;;;;;;;;;;;;;
déc-20;;;1;;;;;;;;;;;;;
janv-21;;;1;;;;;;;;;;;;;
févr-21;;;1;;;;;;;;;;;;;
mars-21;;;1;;;;;;;;;;;;;
avr-21;;;1;;;;;;;;;;;;;
mai-21;;;1;;;;;;;;;;;;;
juin-21;;;1;;;;;;;;;;;;;
juil-21;;;1;;;;;;;;;;;;;
août-21;;;1;;;;;;;;;;;;;
sept-21;;;1;;;;;;;;;;;;;
oct-21;;;1;;;;;;;;;;;;;
nov-21;;;1;;;;;;;;;;;;;
déc-21;;;1;;;;;;;;;;;;;
